# year mean median
2010 2.7919483871 0.144
2011 3.41218159226 0.146
2012 5.02266761713 0.17
2013 5.29647658936 0.176
2014 5.35995458931 0.184
2015 5.07075519834 0.144
2016 4.02887046501 0.016
total 4.6579809034 0.132
