# year mean median
2010 7.60363636364 0.0
2011 5.438685246 0.0
2012 6.34708452141 1.0
2013 3.11304583883 0.0
2014 1.7315876938 0.0
2015 0.84192472954 0.0
2016 0.3480143542 0.0
total 1.47120534337 0.0
